0.990302,0.515445,0.159787,1,0.169806,1,1,0,0.974429,0,1
0.990302,0.515445,0.159787,1,0.169806,1,1,0,0.974429,0,1
0.990302,0.515445,0.159787,1,0.169806,1,1,0,0.974429,0,1
0.990302,0.515445,0.159787,1,0.169806,1,1,0,0.974429,0,1
0.938283,0.338959,0.139181,0.99215,0.190921,0.966686,0.991629,0.036355,0.999909,0.045381,1
0.93842,0.342195,0.139194,0.992185,0.190032,0.966588,0.990729,0.035607,0.999446,0.044945,1
0.990302,0.515445,0.159787,1,0.169806,1,1,0,0.974429,0,1
1,0.636108,0.146335,0.997394,0.162329,0.980429,0.994279,0.012976,0.992399,0.013184,1
0.938097,0.338127,0.139175,0.992131,0.191042,0.966654,0.991748,0.036413,0.999955,0.045491,1
0.975264,0.747338,0.188562,0.955165,0.18687,0.947182,0.944201,0.044852,0.939629,0.042897,0
0.989034,0.589905,0.145092,0.996458,0.165667,0.977602,0.992395,0.015542,0.992912,0.018197,1
0.994881,0.614339,0.145725,0.996925,0.164041,0.979016,0.993646,0.014347,0.992801,0.015652,1
0.989511,0.736412,0.174399,0.971347,0.17311,0.963365,0.958768,0.028257,0.955595,0.027504,0
0.80118,0.729609,0.318114,0.798502,0.324614,0.789184,0.800417,0.203941,0.789675,0.207065,0
0.939049,0.345765,0.139218,0.992257,0.189395,0.966661,0.990106,0.035209,0.999171,0.044473,1
0.993672,0.609376,0.145583,0.996831,0.164343,0.978792,0.993375,0.014544,0.992835,0.016175,1
0.991833,0.601583,0.145395,0.996682,0.164892,0.978276,0.992996,0.014975,0.992859,0.016979,1
0.990302,0.515445,0.159787,1,0.169806,1,1,0,0.974429,0,1
0.992658,0.605133,0.145475,0.99675,0.164628,0.978543,0.99316,0.014755,0.992854,0.016617,1
0.937909,0.337281,0.139168,0.992111,0.191165,0.966622,0.991863,0.036473,1,0.045602,1
0.990302,0.515445,0.159787,1,0.169806,1,1,0,0.974429,0,1
0.993724,0.609813,0.1456,0.996832,0.164348,0.978783,0.993443,0.014543,0.992832,0.016169,1
0.995962,0.618968,0.145831,0.997013,0.163706,0.979342,0.993869,0.014074,0.992793,0.01518,1
0,1,1,0,1,0,0.052921,1,0,1,0
0.991578,0.600519,0.145368,0.996662,0.164962,0.978216,0.99294,0.015026,0.992863,0.017089,1
0.938523,0.344344,0.139204,0.992208,0.189453,0.966525,0.990145,0.035124,0.999146,0.044657,1
0.988526,0.587787,0.145037,0.996417,0.165808,0.97748,0.992286,0.015645,0.992922,0.018419,1
0.990302,0.515445,0.159787,1,0.169806,1,1,0,0.974429,0,1
0.999194,0.633252,0.146262,0.997335,0.162559,0.9803,0.99422,0.013127,0.992429,0.013566,1
0.938734,0.343976,0.139206,0.99222,0.189714,0.966624,0.990418,0.035409,0.999309,0.044709,1
0.990302,0.515445,0.159787,1,0.169806,1,1,0,0.974429,0,1
0.989028,0.737651,0.175865,0.969867,0.174816,0.961611,0.958194,0.030333,0.954349,0.028718,0
0.990302,0.515445,0.159787,1,0.169806,1,1,0,0.974429,0,1
0.994974,0.752453,0.175086,0.97179,0.172306,0.963896,0.959808,0.028211,0.955485,0.025002,0
0.939909,0.346611,0.139237,0.992325,0.18975,0.966948,0.990501,0.035747,0.999453,0.044372,1
0.990302,0.515445,0.159787,1,0.169806,1,1,0,0.974429,0,1
0.814833,0.776671,0.319759,0.799721,0.32092,0.79155,0.801081,0.202133,0.788531,0.200269,0
0.941421,0.349818,0.139276,0.992457,0.18985,0.967376,0.990664,0.036228,0.999669,0.043961,1
0.881595,0,0,0.816779,0,0.794381,0,0.13267,0.75962,0.21848,0
