time,source,destination,protocol,length,caplen,hop_limit,version 
328598,/0.0.0.0,/255.255.255.255,17,310,310,64,4
331952,/192.168.1.1,/255.255.255.255,17,342,342,255,4
365813,/192.168.1.5,/192.168.1.1,ARP,42,42,,
372018,/192.168.1.1,/192.168.1.5,ARP,60,60,,
691594,/192.168.1.5,/74.125.68.188,6,55,55,128,4
966465,/74.125.68.188,/192.168.1.5,6,66,66,46,4
820823,/192.168.1.5,/172.217.26.78,6,54,54,128,4
822133,/192.168.1.5,/192.168.1.1,17,75,75,128,4
839732,/192.168.1.1,/192.168.1.5,17,328,328,255,4
844924,/192.168.1.5,/74.125.68.113,6,1090,1090,128,4
845083,/192.168.1.5,/74.125.68.113,6,100,100,128,4
86985,/172.217.26.78,/192.168.1.5,6,60,60,54,4
119521,/74.125.68.113,/192.168.1.5,6,60,60,46,4
120092,/74.125.68.113,/192.168.1.5,6,60,60,46,4
120286,/74.125.68.113,/192.168.1.5,6,100,100,46,4
120427,/74.125.68.113,/192.168.1.5,6,367,367,46,4
120542,/192.168.1.5,/74.125.68.113,6,54,54,128,4
121305,/74.125.68.113,/192.168.1.5,6,92,92,46,4
121427,/74.125.68.113,/192.168.1.5,6,100,100,46,4
121546,/192.168.1.5,/74.125.68.113,6,54,54,128,4
123868,/192.168.1.5,/74.125.68.113,6,100,100,128,4
134186,/192.168.1.5,/74.125.68.102,6,144,144,128,4
134354,/192.168.1.5,/74.125.68.102,6,100,100,128,4
140799,/192.168.1.5,/74.125.68.102,6,1434,1434,128,4
140822,/192.168.1.5,/74.125.68.102,6,1434,1434,128,4
140835,/192.168.1.5,/74.125.68.102,6,184,184,128,4
141013,/192.168.1.5,/74.125.68.102,6,1434,1434,128,4
141032,/192.168.1.5,/74.125.68.102,6,1434,1434,128,4
141044,/192.168.1.5,/74.125.68.102,6,184,184,128,4
141157,/192.168.1.5,/74.125.68.102,6,1434,1434,128,4
141171,/192.168.1.5,/74.125.68.102,6,1434,1434,128,4
141184,/192.168.1.5,/74.125.68.102,6,184,184,128,4
